id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names
950396,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",2025-02-13,7.731,2391,107.2127,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,"Romance, Science Fiction, Thriller"
447273,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",2025-03-19,4.499,562,91.1967,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Family, Fantasy"
1302916,Heart Eyes,"When the ""Heart Eyes Killer"" strikes Seattle, a pair of co-workers pulling overtime on Valentine's Day are mistaken for a couple by the elusive couple-hunting killer. Now, they must spend the most romantic night of the year running for their lives.",2025-02-06,6.3,168,90.8411,/ebqttF1Vjgde6uSFBEw9mta7Hd3.jpg,"Horror, Comedy, Romance"
1356039,Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2025-02-27,8.373,636,88.9585,/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,"Action, Adventure, Thriller"
1226572,Superboys of Malegaon,"The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.",2025-02-28,8.0,6,97.8715,/l5PDjfWpC9uY5HdF5cbsJ4wjqoq.jpg,"Comedy, Drama"
1304594,Una pequeña confusión,"Lola and Cuau, a progressive middle-class pair, and Iñigo and Majo, a young conservative, well-heeled duo, turn to artificial insemination as a last resort to have children. In a madcap twist based on actual events, a mix-up at the clinic results in each mom-to-be carrying the other one's baby.",2024-12-25,7.5,55,86.2844,/ApXr9phfcvIX06tLGhxOH2kmndb.jpg,Comedy
1304594,Una pequeña confusión,"Lola and Cuau, a progressive middle-class pair, and Iñigo and Majo, a young conservative, well-heeled duo, turn to artificial insemination as a last resort to have children. In a madcap twist based on actual events, a mix-up at the clinic results in each mom-to-be carrying the other one's baby.",2024-12-25,7.5,55,86.2844,/ApXr9phfcvIX06tLGhxOH2kmndb.jpg,Comedy
1212855,Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.,2025-04-03,5.5,44,85.5732,/x4nWnfgJvL045rcUCSJzfgIIY9i.jpg,"Action, Comedy, Thriller"
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",2023-06-08,7.82,3649,82.2762,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,"Romance, Drama"
1064486,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",2024-10-17,7.955,398,81.0784,/57AgZv1ITeBLShiNdchZ5153evs.jpg,"Animation, Drama, Comedy"
519182,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024-06-20,7.055,2697,79.0001,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,"Animation, Family, Comedy, Science Fiction"
