id,title,overview,release_date,vote_average,vote_count,popularity,poster_path,genre_names,type
1458,Franklin,"Franklin is an Canadian educational animated television series, based on the Franklin the Turtle books by Brenda Clark and Paulette Bourgeois. The television series was named after its main character, Franklin the Turtle. It was produced by PolyGram Television, Alphanim, LuxAnimation, Nelvana, Neurones Enterprises, Reader's Digest for Young Families, TF1, Funbag Animation Studios, Europool, Mini TFO, and Family Channel, and syndicated by Summit Entertainment.",1997-11-03,6.8,101,37.4988,/rkUNucXagKjXXcIykQfrQgPgbVb.jpg,"Animation, Kids, Family",tv
1104,Mad Men,"Set in 1960-1970 New York, this sexy, stylized and provocative drama follows the lives of the ruthlessly competitive men and women of Madison Avenue advertising.",2007-07-19,8.113,1286,37.4343,/7v8iCNzKFpdlrCMcqCoJyn74Nsa.jpg,Drama,tv
77252,Pasmerkti,,2011-02-14,10.0,1,37.4142,/3mR71gijMhTklcxpzRJwgTL4emu.jpg,"Crime, Drama",tv
656,Curious George,"With the help of his friend “The Man in the Yellow Hat,” a curious little monkey named George sets out on adventures to learn about the world around him.",2006-09-04,7.1,112,37.3423,/AWQF9ZP7X5GqGUoXnyj1NSQjKo.jpg,"Animation, Family, Kids",tv
120590,Viva la pipol,"Contests, reporting segments and conversation with interesting guests. All done in a pleasant and down-to-earth way for all the Chilean family watching.",2019-03-11,2.0,1,37.3318,/rePfpjLeOkYEfUR2rTUztyo6XGI.jpg,Talk,tv
51492,Detective Opera Milky Holmes,"Set in a futuristic world, there exist ""Toys"" which grant people superhuman abilities. This is responsible for a wave of crimes and necessitates employing Toy-using detectives to help solve them. Opera Kobayashi runs a detective agency, Milky Holmes, staffed by four aspiring young girl detectives who attend the Holmes Detective Academy, and each girl possesses their own unique Toy.",2010-10-07,8.0,6,37.2873,/1tUE9wZXIurCa8ioPiLKsrT1pRC.jpg,"Animation, Mystery",tv
41346,Dondo Hare,"Natsumi is the 23 years old daughter of a master baker in Yokohama and in training with her father to become a pastry chef. She lives with her parents and younger brother in Yokohama. One day she travels to Iwate Prefecture with her boyfriend Masaki for his grandmother Katsuno's 77th birthday. While they are there, Katsuno, head okami of a famous ryokan in Morioka City, becomes ill and asks Masaki to return to run the ryokan. Natsumi returns to Yokohama and later Masaki visits, asking her to disregard their earlier plans to get married because he will return to Morioka as requested by Katsuno. However, Natsumi surprises him with a vow to become the ryokan's okami. Is Natsumi in for clear skies as suggested by the series name?",2007-04-02,0.0,0,37.2771,/58zem5t88f4355IZBrCJ4XKYWAm.jpg,"Family, Drama",tv
3056,The Dating Game,"The Dating Game is an ABC television show that first aired on December 20, 1965 and was the first of many shows created and packaged by Chuck Barris from the 1960s through the 1980s. ABC dropped the show on July 6, 1973, but it continued in syndication for another year as The New Dating Game. It was revived as follows: 1978–1980, 1986–1989 and 1996–1999. For years it was almost always aired in tandem with another Barris production, The Newlywed Game, which premiered on ABC the following year. The show was a forerunner of a number of other shows themed in the same style.",1965-12-20,3.5,4,37.2599,/ysk7R0eYkLwPtd5QdqtBbI8ap90.jpg,,tv
6213,The City,"The City is an American television soap opera that aired on ABC from November 13, 1995 to March 28, 1997. The show follows the loves and lives of the survivors of the Corinth Serial Killer as they all moved from the Pennsylvania town of Corinth to an apartment building in New York's SoHo district.

The show was co-created by Agnes Nixon, the creator of Loving, and the show's last pair of headwriters, Barbara Esensten and James Harmon Brown. The show won two Daytime Emmy Awards in 1996.",1995-11-13,5.0,1,37.255,,Soap,tv
30703,Shark Tank,"Aspiring entrepreneurs pitch various business ideas to ""The Sharks"" -- tough, self-made, multi-millionaire and billionaire tycoons -- in hopes of landing an investment.",2009-08-09,6.7,123,37.2457,/wztqq3SWfdzcuxvl9oA2HwOXasO.jpg,Reality,tv
8478,Shagun,Shagun was a Hindi language daily Indian soap opera that was telecast on STAR Plus. It was story of fortune's twists and pitfalls that tear asunder the lives of two cousins tied together by a bond stronger than that of blood - the bond of love.,2001-01-15,0.0,0,37.2391,,"Drama, Family",tv
